Allergy_Present,Severe_Allergy,Respiratory_Allergy,Food_Allergy,Venom_Allergy,Type_of_Respiratory_Allergy_ARIA,Type_of_Respiratory_Allergy_CONJ,Type_of_Respiratory_Allergy_GINA,Type_of_Respiratory_Allergy_IGE_Pollen_Gram,Type_of_Respiratory_Allergy_IGE_Pollen_Herb,Type_of_Respiratory_Allergy_IGE_Pollen_Tree,Type_of_Respiratory_Allergy_IGE_Dander_Animals,Type_of_Respiratory_Allergy_IGE_Mite_Cockroach,Type_of_Respiratory_Allergy_IGE_Molds_Yeast,Type_of_Food_Allergy_Aromatics,Type_of_Food_Allergy_Other,Type_of_Food_Allergy_Cereals_&_Seeds,Type_of_Food_Allergy_Egg,Type_of_Food_Allergy_Fish,Type_of_Food_Allergy_Fruits_and_Vegetables,Type_of_Food_Allergy_Mammalian_Milk,Type_of_Food_Allergy_Oral_Syndrom,Type_of_Food_Allergy_Other_Legumes,Type_of_Food_Allergy_Peanut,Type_of_Food_Allergy_Shellfish,Type_of_Food_Allergy_TPO,Type_of_Food_Allergy_Tree_Nuts,Type_of_Venom_Allergy_ATCD_Venom,Type_of_Venom_Allergy_IGE_Venom
1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7739363816119909,0.6148179947440358,0.7145593240694206,0.4443842882574843,0.0,0.47436349080290946,0.23914417419983042,0.4660704480526371,0.44443694040678894,0.29928831126242983,0.43757102996260566,0.41017379724586256,0.42202376093745964,0.21226462285975944,0.020724024204844805,0.0,0.0,0.02468733835357785,0.02311767800797298,0.05967486900175735,0.014804235959200355,0.06531461474050843,0.029715765780160917,0.06548075400373903,0.024639389962362663,0.030655189756542328,0.08795591570392504,0.0,0.0
1.0,1.0,0.8702172129286962,1.0,0.0,0.647157366560035,0.4541033119298576,0.5686509664007401,0.5533667860212412,0.3942521504337496,0.5711178291252583,0.5449448907070162,0.5317494045956089,0.2679615645982908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7739363816119909,0.6148179947440358,0.7145593240694206,0.4443842882574843,0.0,0.47436349080290946,0.23914417419983042,0.4660704480526371,0.44443694040678894,0.29928831126242983,0.43757102996260566,0.41017379724586256,0.42202376093745964,0.21226462285975944,0.020724024204844805,0.0,0.0,0.02468733835357785,0.02311767800797298,0.05967486900175735,0.014804235959200355,0.06531461474050843,0.029715765780160917,0.06548075400373903,0.024639389962362663,0.030655189756542328,0.08795591570392504,0.0,0.0
1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.007701119735184059,0.0,0.0,0.0018367240004545302,-0.0010142179743248007,0.0069537083459768325,0.009787993256690893,0.004563262776730356,0.005537797488648055,0.006911843633860623,0.011064790940452453,0.0019235256428980132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.39236454772941265,1.0,0.5395239702677148,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.027809159141560964,0.0,0.0,0.005559805450757672,0.017830911341701446,0.07625851601733863,-0.009311036776498907,0.030374038412652307,0.011690377547548012,0.029762413799653928,0.03070052976159018,-0.006271231093399644,0.04809975895793852,0.0,0.0
1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7739363816119909,0.6148179947440358,0.7145593240694206,0.4443842882574843,0.0,0.47436349080290946,0.23914417419983042,0.4660704480526371,0.44443694040678894,0.29928831126242983,0.43757102996260566,0.41017379724586256,0.42202376093745964,0.21226462285975944,0.020724024204844805,0.0,0.0,0.02468733835357785,0.02311767800797298,0.05967486900175735,0.014804235959200355,0.06531461474050843,0.029715765780160917,0.06548075400373903,0.024639389962362663,0.030655189756542328,0.08795591570392504,0.0,0.0
0.7739363816119909,0.6148179947440358,0.7145593240694206,0.4443842882574843,0.0,0.47436349080290946,0.23914417419983042,0.4660704480526371,0.44443694040678894,0.29928831126242983,0.43757102996260566,0.41017379724586256,0.42202376093745964,0.21226462285975944,0.020724024204844805,0.0,0.0,0.02468733835357785,0.02311767800797298,0.05967486900175735,0.014804235959200355,0.06531461474050843,0.029715765780160917,0.06548075400373903,0.024639389962362663,0.030655189756542328,0.08795591570392504,0.0,0.0
1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.4369460669710592,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7739363816119909,0.6148179947440358,0.7145593240694206,0.4443842882574843,0.0,0.47436349080290946,0.23914417419983042,0.4660704480526371,0.44443694040678894,0.29928831126242983,0.43757102996260566,0.41017379724586256,0.42202376093745964,0.21226462285975944,0.020724024204844805,0.0,0.0,0.02468733835357785,0.02311767800797298,0.05967486900175735,0.014804235959200355,0.06531461474050843,0.029715765780160917,0.06548075400373903,0.024639389962362663,0.030655189756542328,0.08795591570392504,0.0,0.0
1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7739363816119909,0.6148179947440358,0.7145593240694206,0.4443842882574843,0.0,0.47436349080290946,0.23914417419983042,0.4660704480526371,0.44443694040678894,0.29928831126242983,0.43757102996260566,0.41017379724586256,0.42202376093745964,0.21226462285975944,0.020724024204844805,0.0,0.0,0.02468733835357785,0.02311767800797298,0.05967486900175735,0.014804235959200355,0.06531461474050843,0.029715765780160917,0.06548075400373903,0.024639389962362663,0.030655189756542328,0.08795591570392504,0.0,0.0
1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7739363816119909,0.6148179947440358,0.7145593240694206,0.4443842882574843,0.0,0.47436349080290946,0.23914417419983042,0.4660704480526371,0.44443694040678894,0.29928831126242983,0.43757102996260566,0.41017379724586256,0.42202376093745964,0.21226462285975944,0.020724024204844805,0.0,0.0,0.02468733835357785,0.02311767800797298,0.05967486900175735,0.014804235959200355,0.06531461474050843,0.029715765780160917,0.06548075400373903,0.024639389962362663,0.030655189756542328,0.08795591570392504,0.0,0.0
0.7739363816119909,0.6148179947440358,0.7145593240694206,0.4443842882574843,0.0,0.47436349080290946,0.23914417419983042,0.4660704480526371,0.44443694040678894,0.29928831126242983,0.43757102996260566,0.41017379724586256,0.42202376093745964,0.21226462285975944,0.020724024204844805,0.0,0.0,0.02468733835357785,0.02311767800797298,0.05967486900175735,0.014804235959200355,0.06531461474050843,0.029715765780160917,0.06548075400373903,0.024639389962362663,0.030655189756542328,0.08795591570392504,0.0,0.0
0.7739363816119909,0.6148179947440358,0.7145593240694206,0.4443842882574843,0.0,0.47436349080290946,0.23914417419983042,0.4660704480526371,0.44443694040678894,0.29928831126242983,0.43757102996260566,0.41017379724586256,0.42202376093745964,0.21226462285975944,0.020724024204844805,0.0,0.0,0.02468733835357785,0.02311767800797298,0.05967486900175735,0.014804235959200355,0.06531461474050843,0.029715765780160917,0.06548075400373903,0.024639389962362663,0.030655189756542328,0.08795591570392504,0.0,0.0
0.7739363816119909,0.6148179947440358,0.7145593240694206,0.4443842882574843,0.0,0.47436349080290946,0.23914417419983042,0.4660704480526371,0.44443694040678894,0.29928831126242983,0.43757102996260566,0.41017379724586256,0.42202376093745964,0.21226462285975944,0.020724024204844805,0.0,0.0,0.02468733835357785,0.02311767800797298,0.05967486900175735,0.014804235959200355,0.06531461474050843,0.029715765780160917,0.06548075400373903,0.024639389962362663,0.030655189756542328,0.08795591570392504,0.0,0.0
1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
